Price,Close,High,Low,Open,Volume
Ticker,XLB,XLB,XLB,XLB,XLB
Date,,,,,
2015-01-02,39.766998291015625,39.94682637311772,39.52994863941316,39.709779839686995,5234800
2015-01-05,38.75341033935547,39.57899311772312,38.58175497724515,39.46455620964957,5438800
2015-01-06,38.41010665893555,38.99046715240704,38.20575410899439,38.867854375173366,5054500
2015-01-07,38.84333419799805,38.95777113038957,38.54906601860698,38.69620010830251,3560300
2015-01-08,39.766998291015625,39.873259347384945,39.13759220822895,39.235680536482064,7640500
2015-01-09,39.562652587890625,40.03674885440717,39.38282135670904,39.946833238816374,6850800
2015-01-12,39.47273635864258,39.63621901006862,39.03133413524393,39.374644896883616,4658100
2015-01-13,39.03133773803711,39.807878065360306,38.72072098347333,39.69344113425063,5855000
2015-01-14,38.57358169555664,38.63080015339821,37.96052411739233,38.34470786419037,6784300
2015-01-15,38.50001907348633,39.096731261939894,38.50001907348633,38.745244627392154,5855400
2015-01-16,39.113075256347656,39.178469566451554,38.44279916864438,38.55723609315386,5460200
2015-01-20,39.17847442626953,39.43187273209593,38.80246645104794,39.38282699343423,4061600
2015-01-21,39.562652587890625,39.603522471839455,38.998637587611015,39.096729050894936,4711600
2015-01-22,40.06126403808594,40.12665833694687,39.48907951391174,39.758823201283604,5778300
2015-01-23,39.440040588378906,39.97953117429098,39.41551928116501,39.97953117429098,5036700
2015-01-26,39.61170959472656,39.66075534418986,39.24387426918537,39.41553283322019,3101100
2015-01-27,39.34196090698242,39.62805328140162,38.89238583939239,39.06404126404391,4516400
2015-01-28,38.630794525146484,39.47272893018488,38.565403347785505,39.39916190679651,5778500
2015-01-29,39.13759994506836,39.20299113743992,38.426450849678865,38.679849125778006,5958400
2015-01-30,38.982295989990234,39.448219610407314,38.70437636393682,38.81064057576769,7808700
2015-02-02,39.33378982543945,39.440054056607984,38.76160188906642,39.023176100752046,6625500
2015-02-03,40.200218200683594,40.22473949930102,39.546290919458464,39.60350936167996,6126100
2015-02-04,39.938663482666016,40.24110438821035,39.848747860381145,39.95501206109713,5683600
2015-02-05,40.903202056884766,40.944071938154956,40.069443382650284,40.069443382650284,5864500
2015-02-06,40.80510711669922,40.98493832074322,40.69067021164278,40.91954713992745,5610100
2015-02-09,40.756065368652344,40.99311503021507,40.5844100074539,40.5844100074539,3705600
2015-02-10,41.05852127075195,41.099391164382865,40.633467517009876,41.01765137712105,3245500
2015-02-11,40.99311828613281,41.14025235546685,40.75606860574218,40.952245286072824,3223900
2015-02-12,41.69609451293945,41.81870729486326,41.23834677919206,41.23834677919206,4900600
2015-02-13,42.04756546020508,42.12113247825322,41.72877608805358,41.810518951535634,2901400
2015-02-17,42.096622467041016,42.26010511967368,41.786005738856176,41.85957277663226,3271200
2015-02-18,42.2110481262207,42.2110481262207,41.80234316277058,41.973998499058496,2974200
